Movie,Genres,Rating,Description 
The Hobbit,Adventure,R,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug. "
Totoro,Animation,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby. "
Howls Moving Castle,Animation,G,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle. "
Spirited Away,Animation,G,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Pokemon 4Ever,Animation,G,Ash must stop a hunter who forces the mythical Pokémon Celebi to help him destroy a forest.
Harry Potter,Adventure,R,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
The Dark Knight,Action,R,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Lord of the Rings,Action,R,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Inception,Action,R,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
The Matrix,Action ,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence"
Parasite,Comedy,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Bridge to Terabithia,Fantasy,G,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.
Thunder Force,Fantasy,R,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city."
The Nevers,Fantasy,G,"An epic tale following a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world."
Love and Monsters,Comedy,R,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex."
Them,Horror,R,"A Black family moves to an all-white Los Angeles neighborhood where malevolent forces, next door and otherworldly, threaten to taunt, ravage and destroy them."
Split,Horror,R,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Us,Horror,R,A family's serene beach vacation turns to chaos when their doppelg?ngers appear and begin to terrorize them.
Big Mommas,Comedy,R,Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.
